ID,sex,owngun,race,marital,relig,attend3,partyid,degree,cappun,homosex2,premarsx2,grass,gunlaw,vote08,divlaw,getahead,natroad,natsci,eqwlth,age
403,1,,1,2,2,1,1,2,1,,1,1,,1,1,,,3,5,84
1403,1,,1,3,4,1,4,1,1,,1,1,,2,1,,1,1,3,53
594,2,2,1,3,1,3,7,2,,1,,2,1,1,,2,1,1,7,76
1190,1,,1,1,1,1,6,2,1,,1,1,,1,2,,1,2,6,28
21,2,2,3,4,2,3,2,1,2,1,,2,1,1,,3,2,1,1,76
1748,2,,1,2,1,1,1,2,1,,0,2,,2,2,,1,1,1,71
1857,1,1,1,1,1,3,1,2,1,1,0,,1,1,2,1,1,1,,73
1433,1,,1,1,1,2,4,1,,,0,2,,,,,1,,1,81
543,1,2,2,1,1,3,1,1,1,1,0,,1,,2,1,2,2,,43
1306,2,,2,5,4,1,5,1,2,,0,2,,,1,,2,2,5,19
944,1,2,1,5,2,1,3,2,2,1,0,,1,1,2,1,1,1,,53
716,2,2,1,3,1,2,1,2,1,1,,2,1,1,,1,2,2,7,73
1559,2,2,3,4,1,1,4,2,1,0,0,,1,2,1,1,2,3,,43
476,2,,2,3,4,1,1,1,2,,1,2,,1,1,,2,2,4,77
1899,1,1,1,1,1,2,1,2,2,1,0,,1,1,2,2,1,1,,56
1196,2,3,1,2,4,1,7,2,1,1,,,2,1,,1,,,7,55
921,1,,1,5,1,2,4,2,1,,1,,,,2,,2,2,7,18
883,2,2,1,1,1,2,3,2,1,1,,1,1,2,,1,3,1,3,32
643,2,,3,1,2,1,6,2,1,,1,2,,2,1,,2,1,2,45
1086,1,2,1,5,4,1,4,2,1,0,,1,2,1,,1,1,1,2,35
1779,1,,1,1,1,3,3,2,1,,0,2,,1,2,,1,3,2,61
951,1,1,1,3,4,1,4,2,1,1,,,2,2,,3,3,1,7,57
1656,2,1,1,1,1,1,3,2,1,1,1,,1,2,3,1,1,2,,34
538,2,1,1,1,1,2,6,2,2,1,1,,1,1,2,2,1,3,,49
927,1,2,1,5,5,1,4,2,1,0,,1,2,2,,2,1,2,7,38
1922,2,1,1,1,1,3,6,2,1,1,,,2,1,1,1,2,2,,48
1936,1,1,1,1,1,3,4,2,1,1,1,,2,2,1,1,2,1,,39
134,2,2,3,1,2,2,4,2,1,0,,1,2,2,,1,1,1,1,32
577,1,2,1,3,1,2,5,2,1,1,0,,2,1,3,2,1,1,,59
1888,1,1,2,3,1,2,1,1,1,1,,2,1,1,,1,1,1,2,66
1262,1,,1,3,1,2,3,2,1,,1,1,,2,2,,2,1,7,52
848,1,2,1,5,4,1,4,1,1,1,,1,1,2,,1,1,2,3,51
1682,1,,1,3,1,1,7,2,1,,0,2,,1,1,,1,3,7,74
1754,2,1,1,1,1,3,2,2,1,1,0,,2,1,2,1,2,2,,75
1944,2,2,1,3,1,3,4,2,1,0,1,,2,1,1,1,3,1,,31
1781,1,1,1,1,4,1,3,2,1,1,,2,2,2,,2,2,3,4,51
769,2,,2,5,1,2,1,2,2,,0,2,,1,2,,,1,1,43
505,2,2,1,5,2,1,4,2,,1,,,1,2,1,1,3,,,33
1540,2,,3,3,11,2,3,1,1,,0,,,2,1,,3,,4,34
898,2,2,1,3,11,1,1,2,1,0,1,,1,1,1,1,3,1,,29
661,2,2,1,2,1,3,6,2,1,1,,2,1,1,,1,3,,,86
879,1,1,2,1,1,3,3,1,2,1,,2,1,1,,1,2,2,4,80
1619,2,,1,5,1,3,2,1,1,,0,,,,2,,3,2,5,18
662,2,,1,3,2,1,7,2,1,,0,2,,1,,,2,2,7,63
1109,2,2,1,1,1,1,5,1,1,1,0,,1,2,1,1,2,1,,62
1470,1,1,1,1,1,3,4,2,1,1,0,,1,1,2,1,1,,,41
288,1,2,2,5,4,2,3,1,1,1,,2,1,2,,,3,2,1,55
1586,2,,1,1,1,2,5,1,2,,0,2,,,2,,1,3,5,59
